,county,lead,state,totalpop,men,women,hispanic,white,black,native,asian,pacific,citizen,income,incomeerr,incomepercap,incomepercaperr,poverty,childpoverty,professional,service,office,construction,production,drive,carpool,transit,walk,othertransp,workathome,meancommute,employed,privatework,publicwork,selfemployed,familywork,unemployment
1931,Tuscaloosa,Donald Trump,AL,200458.0,96781.0,103677.0,3.2,63.5,30.6,0.1,1.5,0.0,154170.0,46565.0,1280.0,23124.0,546.0,19.1,25.5,35.1,18.2,21.7,9.1,15.9,85.8,9.0,0.4,1.4,0.9,2.5,22.1,87695.0,77.0,18.9,4.0,0.1,7.6
1935,Weber,Donald Trump,UT,238682.0,119748.0,118934.0,17.5,77.2,1.1,0.6,1.1,0.2,157797.0,56581.0,938.0,23545.0,353.0,13.0,16.8,31.6,15.8,25.3,10.2,17.1,79.0,12.0,1.8,1.4,1.6,4.1,21.7,109474.0,76.4,19.5,3.9,0.1,6.3
1945,Iredell,Donald Trump,NC,165066.0,81281.0,83785.0,7.2,76.8,12.1,0.3,2.3,0.0,119005.0,52306.0,1352.0,27558.0,731.0,14.0,21.1,33.6,15.9,23.3,9.9,17.3,84.2,8.8,0.4,1.0,1.4,4.3,24.7,76079.0,84.4,10.4,5.0,0.2,9.8
1948,Anderson,Donald Trump,SC,191215.0,92287.0,98928.0,3.3,77.8,16.2,0.2,0.8,0.0,144134.0,42143.0,1065.0,22400.0,499.0,16.4,23.6,30.3,16.5,25.3,9.5,18.4,86.5,8.1,0.3,1.2,1.5,2.4,23.0,81226.0,81.2,13.1,5.5,0.2,9.2
1955,Santa Cruz,Hillary Clinton,CA,269278.0,133714.0,135564.0,32.9,58.3,0.9,0.2,4.2,0.1,185139.0,67256.0,1534.0,33241.0,520.0,15.1,17.1,40.4,19.2,21.9,11.3,7.2,69.9,9.3,2.9,3.9,6.6,7.3,25.9,131321.0,73.1,15.3,11.4,0.2,7.6
1960,Penobscot,Donald Trump,ME,153437.0,75714.0,77723.0,1.2,94.2,0.8,1.1,1.1,0.0,122381.0,44271.0,1142.0,24149.0,462.0,17.0,20.3,35.2,20.6,24.6,9.6,10.1,79.8,9.8,0.6,3.9,1.8,4.1,22.3,71852.0,77.9,15.9,6.2,0.1,7.8
1964,Indian River,Donald Trump,FL,142866.0,68768.0,74098.0,11.8,76.5,8.9,0.2,1.2,0.0,110331.0,45798.0,1567.0,31882.0,1351.0,14.4,23.1,32.3,22.2,26.6,10.7,8.3,80.9,10.2,0.3,1.1,1.9,5.7,22.4,53211.0,80.8,12.9,6.1,0.2,12.2
1970,Orange,Hillary Clinton,NC,138644.0,66199.0,72445.0,8.3,69.8,11.5,0.4,7.3,0.0,100347.0,59290.0,2621.0,36380.0,1172.0,15.8,13.9,55.1,16.2,18.0,5.5,5.2,67.4,8.5,7.4,6.0,3.3,7.6,22.3,70264.0,67.7,25.5,6.6,0.2,6.4
1973,Kent,Donald Trump,RI,164958.0,79650.0,85308.0,4.0,90.2,1.3,0.1,2.4,0.0,129675.0,64383.0,1384.0,34824.0,724.0,8.4,10.7,36.9,18.1,26.4,7.8,10.8,86.1,8.5,1.2,1.0,0.4,2.7,24.5,86274.0,82.6,12.7,4.6,0.1,8.2
1978,Greene,Donald Trump,OH,164192.0,80590.0,83602.0,2.6,84.4,7.1,0.1,2.9,0.0,126008.0,60113.0,1836.0,31075.0,607.0,13.6,19.2,44.4,15.7,23.5,6.1,10.4,84.0,7.2,0.4,3.3,0.9,4.3,20.7,76109.0,73.7,21.2,5.0,0.2,7.6
1983,Citrus,Donald Trump,FL,139654.0,67381.0,72273.0,5.1,88.9,2.8,0.3,1.6,0.0,116364.0,38312.0,1593.0,23979.0,784.0,17.4,30.4,28.8,24.1,25.1,10.6,11.5,82.4,8.1,0.4,1.0,2.5,5.6,24.9,43486.0,78.2,14.4,6.9,0.5,13.1
1989,Washington,Donald Trump,AR,216432.0,108144.0,108288.0,16.0,72.5,3.2,0.9,2.5,2.2,144421.0,43524.0,1412.0,24638.0,860.0,20.1,25.3,36.5,16.9,23.3,9.2,14.1,78.3,12.4,0.9,2.5,1.3,4.6,21.3,102944.0,78.7,14.7,6.3,0.3,6.2
1997,Licking,Donald Trump,OH,168693.0,82562.0,86131.0,1.6,91.6,3.3,0.1,1.0,0.0,127148.0,56549.0,1414.0,27389.0,666.0,12.7,20.1,35.0,16.1,25.7,9.0,14.2,83.0,8.6,0.3,2.6,1.0,4.6,25.3,81446.0,80.4,13.3,6.3,0.1,7.2
2002,Olmsted,Hillary Clinton,MN,148736.0,72773.0,75963.0,4.6,82.0,5.1,0.1,5.9,0.0,105144.0,68023.0,1887.0,35267.0,639.0,9.0,10.8,48.1,16.2,20.0,6.3,9.5,74.5,11.8,5.0,3.2,1.7,3.7,17.4,80162.0,86.2,9.1,4.6,0.1,4.1
2011,Beaver,Donald Trump,PA,169785.0,82231.0,87554.0,1.4,90.0,6.0,0.0,0.6,0.0,135125.0,50581.0,1184.0,27233.0,536.0,11.9,19.0,32.4,18.4,25.2,8.7,15.2,83.3,8.6,1.4,2.8,0.7,3.3,25.0,80816.0,85.6,9.8,4.5,0.0,6.8
2016,McLean,Donald Trump,IL,173114.0,84278.0,88836.0,4.7,80.4,7.8,0.1,4.7,0.0,128187.0,62211.0,1191.0,31305.0,674.0,14.4,11.5,42.2,17.8,25.5,5.8,8.7,79.5,9.4,1.9,4.4,1.6,3.1,17.8,90810.0,81.9,13.9,4.0,0.2,5.5
2020,Stearns,Donald Trump,MN,152595.0,76804.0,75791.0,3.0,89.4,3.7,0.3,1.9,0.0,113937.0,56336.0,975.0,27135.0,487.0,13.5,13.4,31.9,18.6,24.4,9.3,15.8,78.6,7.9,1.6,4.4,1.3,6.2,20.5,83520.0,83.2,11.0,5.6,0.2,5.0
2029,Berkeley,Donald Trump,SC,193613.0,96518.0,97095.0,6.1,64.0,24.3,0.5,2.4,0.1,140702.0,52506.0,1116.0,24826.0,540.0,13.9,19.9,32.9,16.6,24.3,12.0,14.3,83.3,8.7,0.8,3.0,1.2,3.0,26.1,84494.0,76.5,19.1,4.3,0.1,9.9
2036,Cass,Donald Trump,ND,162500.0,81905.0,80595.0,2.3,88.8,3.1,1.1,2.6,0.0,121425.0,53289.0,1923.0,31795.0,710.0,12.1,11.3,37.9,16.3,24.5,9.2,12.1,82.7,8.4,0.8,3.2,1.6,3.3,16.5,94675.0,82.9,12.6,4.5,0.1,3.2
2042,Pitt,Hillary Clinton,NC,173798.0,82005.0,91793.0,5.8,56.1,33.9,0.3,1.7,0.0,130287.0,41119.0,1089.0,23461.0,781.0,25.5,29.5,37.2,21.4,23.0,7.7,10.6,84.1,8.5,1.2,2.3,1.0,3.0,19.9,80392.0,75.8,20.0,4.1,0.1,12.1
2045,Minnehaha,Donald Trump,SD,178942.0,89658.0,89284.0,4.6,84.5,4.1,2.5,1.8,0.0,128691.0,53525.0,1260.0,27387.0,516.0,11.8,16.8,33.2,17.4,27.2,8.6,13.6,84.0,8.0,0.9,2.2,1.7,3.2,17.8,98459.0,86.1,9.2,4.6,0.1,4.4
2049,McLennan,Donald Trump,TX,241505.0,117708.0,123797.0,24.8,57.7,14.2,0.1,1.5,0.0,168290.0,42687.0,1183.0,22221.0,507.0,21.5,29.8,32.4,18.2,25.1,10.5,13.8,82.3,11.5,0.4,1.8,0.8,3.2,19.0,107737.0,79.5,14.7,5.7,0.1,6.2
2053,St. Clair,Donald Trump,MI,160429.0,79585.0,80844.0,3.1,91.7,2.2,0.1,0.6,0.0,122751.0,49730.0,1147.0,25429.0,503.0,14.6,20.5,27.2,19.6,23.1,10.5,19.7,82.6,11.3,0.6,1.6,1.1,2.8,28.5,69940.0,83.5,11.2,5.1,0.1,10.4
2059,Sarpy,Donald Trump,NE,169192.0,84574.0,84618.0,8.1,82.6,3.9,0.4,2.1,0.1,117113.0,70543.0,1185.0,30902.0,475.0,6.4,9.2,41.7,15.0,25.3,8.8,9.2,86.9,8.2,0.2,0.6,1.0,3.1,20.6,87645.0,80.1,15.8,4.1,0.1,4.4
2063,Broome,Donald Trump,NY,198093.0,97363.0,100730.0,3.8,84.9,4.8,0.2,4.1,0.0,154136.0,46261.0,1079.0,25105.0,451.0,17.9,24.3,36.2,19.4,24.9,8.3,11.2,79.4,8.3,3.3,4.5,1.1,3.5,19.6,88758.0,75.0,19.5,5.4,0.1,7.8
2067,Peoria,Hillary Clinton,IL,187112.0,90646.0,96466.0,4.4,71.2,17.3,0.3,3.7,0.0,137369.0,51147.0,845.0,28610.0,539.0,17.2,25.3,38.1,18.5,24.7,7.1,11.6,82.9,8.5,2.5,2.3,1.3,2.5,19.3,85639.0,85.8,10.4,3.7,0.1,8.7
2071,Chittenden,Hillary Clinton,VT,159711.0,77980.0,81731.0,2.1,90.0,2.3,0.2,3.2,0.0,124443.0,65350.0,1634.0,33977.0,666.0,11.4,11.9,47.2,16.9,21.6,6.5,7.8,73.2,8.4,2.4,7.4,2.6,5.9,20.6,89268.0,79.4,14.4,6.0,0.1,5.0
