,county,lead,state,totalpop,men,women,hispanic,white,black,native,asian,pacific,citizen,income,incomeerr,incomepercap,incomepercaperr,poverty,childpoverty,professional,service,office,construction,production,drive,carpool,transit,walk,othertransp,workathome,meancommute,employed,privatework,publicwork,selfemployed,familywork,unemployment
0,Los Angeles,Hillary Clinton,CA,10038388.0,4945351.0,5093037.0,48.2,26.9,8.0,0.2,14.0,0.2,6046749.0,56196.0,270.0,28337.0,113.0,18.2,25.8,35.7,19.1,24.6,7.8,12.8,73.0,9.9,6.8,2.8,2.3,5.1,30.0,4635465.0,79.0,11.5,9.4,0.2,10.0
5,Cook,Hillary Clinton,IL,5236393.0,2537245.0,2699148.0,24.7,43.1,23.7,0.1,6.7,0.0,3499916.0,55251.0,327.0,31013.0,174.0,17.1,25.0,38.3,18.2,24.4,6.1,13.0,62.1,8.7,18.4,4.4,2.2,4.2,32.3,2463655.0,83.9,11.5,4.5,0.1,10.7
9,Harris,Hillary Clinton,TX,4356362.0,2166727.0,2189635.0,41.6,31.7,18.5,0.2,6.5,0.1,2494733.0,54457.0,400.0,29047.0,174.0,18.0,26.8,34.7,17.4,23.5,11.5,12.9,79.2,11.1,2.9,1.5,2.0,3.3,28.2,2081889.0,83.4,10.1,6.3,0.1,7.5
13,Maricopa,Donald Trump,AZ,4018143.0,1986158.0,2031985.0,30.1,57.3,4.9,1.6,3.7,0.2,2659853.0,54229.0,365.0,27832.0,173.0,17.0,24.4,36.6,18.4,27.2,8.4,9.5,76.5,11.0,2.4,1.6,2.6,5.9,25.5,1821038.0,82.5,11.7,5.7,0.2,7.7
17,Miami-Dade,Hillary Clinton,FL,2639042.0,1280221.0,1358821.0,65.6,15.1,16.8,0.1,1.5,0.0,1521585.0,43129.0,454.0,23850.0,224.0,20.4,27.7,31.5,21.0,28.2,9.1,10.2,76.9,9.2,5.5,2.2,1.9,4.3,29.9,1204871.0,81.9,10.2,7.7,0.2,10.0
23,King,Hillary Clinton,WA,2045756.0,1020901.0,1024855.0,9.3,62.8,6.0,0.6,15.5,0.8,1414658.0,75302.0,690.0,41664.0,315.0,11.2,13.7,49.1,15.6,21.1,5.6,8.6,64.5,9.8,12.1,4.7,2.8,6.1,28.1,1079601.0,81.7,12.4,5.7,0.2,6.3
30,Orange,Hillary Clinton,CA,3116069.0,1539600.0,1576469.0,34.2,42.4,1.5,0.2,18.8,0.3,1961585.0,76509.0,426.0,34817.0,229.0,12.8,17.6,40.1,17.5,25.6,6.8,10.1,78.4,9.8,2.5,2.0,2.1,5.2,26.8,1508753.0,81.8,10.2,7.8,0.2,7.6
35,Broward,Hillary Clinton,FL,1843152.0,894820.0,948332.0,27.0,40.4,26.9,0.2,3.4,0.0,1208582.0,51968.0,429.0,28381.0,265.0,14.5,19.9,35.4,19.9,28.4,8.1,8.1,79.5,9.4,3.1,1.2,2.0,4.9,27.8,890997.0,82.2,11.3,6.4,0.1,10.0
41,Wayne,Hillary Clinton,MI,1778969.0,855112.0,923857.0,5.5,49.8,39.2,0.3,2.9,0.0,1287373.0,41210.0,304.0,22897.0,161.0,25.0,36.9,31.3,20.5,24.4,6.9,16.8,81.0,9.7,3.2,1.8,1.5,2.8,25.1,696900.0,86.1,10.0,3.8,0.1,14.9
47,San Diego,Hillary Clinton,CA,3223096.0,1618945.0,1604151.0,32.9,47.0,4.7,0.4,11.2,0.4,2141755.0,64309.0,514.0,31266.0,197.0,14.5,18.4,40.6,19.7,23.6,7.8,8.4,76.0,9.3,3.0,2.9,2.0,6.8,25.0,1462130.0,77.3,14.8,7.7,0.2,8.7
52,Middlesex,Hillary Clinton,MA,1556116.0,758542.0,797574.0,7.3,74.7,4.6,0.1,10.5,0.0,1087546.0,85118.0,757.0,44152.0,368.0,8.3,9.2,53.4,14.5,19.8,5.7,6.5,68.9,7.5,11.4,4.9,2.2,5.2,29.3,832753.0,82.8,10.7,6.5,0.1,6.1
56,Clark,Hillary Clinton,NV,2035572.0,1019927.0,1015645.0,30.0,45.8,10.4,0.4,9.0,0.7,1321113.0,51575.0,401.0,26048.0,209.0,15.7,22.7,26.5,30.2,26.3,7.9,9.1,78.6,10.4,4.0,1.8,2.2,3.1,24.4,923588.0,84.5,10.7,4.8,0.1,10.8
62,Dallas,Hillary Clinton,TX,2485003.0,1225722.0,1259281.0,39.0,31.5,21.8,0.2,5.6,0.0,1432702.0,50270.0,333.0,27605.0,246.0,19.3,29.3,33.3,18.2,24.5,11.2,12.9,78.2,11.2,2.9,1.5,2.1,4.1,26.5,1191958.0,83.9,9.5,6.4,0.1,7.6
66,Kings,Hillary Clinton,NY,2595259.0,1229001.0,1366258.0,19.6,35.7,31.2,0.2,11.4,0.0,1601527.0,48201.0,419.0,26774.0,203.0,23.2,32.9,38.5,24.1,22.3,6.3,8.8,18.6,4.4,61.7,8.8,2.5,3.9,41.7,1167448.0,79.1,14.4,6.5,0.1,10.0
70,Philadelphia,Hillary Clinton,PA,1555072.0,734521.0,820551.0,13.4,35.8,41.5,0.2,6.8,0.0,1119353.0,38253.0,511.0,22919.0,213.0,26.4,37.2,36.0,24.0,23.7,5.6,10.7,50.4,8.6,26.2,8.5,3.3,3.1,32.5,640661.0,82.9,13.0,4.0,0.1,13.9
75,Hennepin,Hillary Clinton,MN,1197776.0,589781.0,607995.0,6.8,70.4,12.0,0.6,6.7,0.0,855006.0,65834.0,616.0,38724.0,305.0,12.5,16.8,47.7,15.6,23.2,4.3,9.2,73.4,8.1,7.3,3.4,2.6,5.2,23.1,650324.0,84.9,10.1,4.8,0.1,6.0
84,Oakland,Hillary Clinton,MI,1229503.0,597097.0,632406.0,3.7,73.5,13.8,0.2,6.3,0.0,896373.0,67465.0,680.0,37728.0,307.0,10.1,13.1,47.8,14.4,23.8,4.9,9.0,85.7,7.5,0.5,1.2,0.9,4.2,26.3,606484.0,86.1,8.8,5.0,0.2,7.5
90,Tarrant,Donald Trump,TX,1914526.0,937266.0,977260.0,27.6,49.8,15.1,0.3,4.9,0.2,1219370.0,58711.0,488.0,29058.0,254.0,15.0,21.5,36.3,16.0,25.7,8.9,13.1,82.9,10.0,0.6,1.2,1.4,3.9,26.5,924741.0,83.1,11.4,5.4,0.1,6.9
94,Palm Beach,Hillary Clinton,FL,1378806.0,666577.0,712229.0,20.4,57.6,17.5,0.1,2.5,0.0,956277.0,53363.0,511.0,33650.0,430.0,14.5,22.2,35.6,22.0,26.3,8.9,7.2,78.8,9.7,2.0,1.5,2.0,5.9,25.0,617902.0,82.6,10.8,6.5,0.1,9.5
100,Allegheny,Hillary Clinton,PA,1231145.0,592511.0,638634.0,1.8,79.6,12.9,0.1,3.3,0.0,962282.0,53040.0,530.0,32848.0,300.0,13.0,18.1,43.7,17.0,24.6,6.1,8.5,72.1,9.0,9.1,4.2,1.5,4.2,26.4,612259.0,86.2,9.3,4.5,0.1,7.1
105,Queens,Hillary Clinton,NY,2301139.0,1115459.0,1185680.0,27.9,26.1,17.4,0.2,24.2,0.0,1367889.0,57720.0,552.0,26876.0,165.0,15.1,20.5,32.3,24.8,24.0,8.2,10.7,31.6,6.4,52.3,5.8,1.5,2.4,42.6,1104930.0,79.9,13.6,6.4,0.1,8.6
109,Suffolk,Donald Trump,NY,1501373.0,739210.0,762163.0,17.8,69.6,7.1,0.1,3.7,0.0,1056903.0,88663.0,826.0,37634.0,304.0,7.0,8.7,37.8,17.5,25.7,9.4,9.5,79.3,7.9,6.5,1.6,1.2,3.5,31.4,735010.0,77.1,18.1,4.7,0.1,6.4
113,Nassau,Hillary Clinton,NY,1354612.0,656738.0,697874.0,15.8,62.9,10.9,0.1,8.5,0.0,947249.0,99465.0,1000.0,43206.0,355.0,6.2,8.2,43.6,16.3,26.2,6.8,7.1,69.2,7.1,16.3,2.7,1.1,3.6,34.9,666184.0,78.0,16.4,5.5,0.1,6.4
117,Hillsborough,Hillary Clinton,FL,1302884.0,635632.0,667252.0,26.1,51.8,15.6,0.2,3.7,0.1,902105.0,50579.0,420.0,27764.0,264.0,17.0,23.3,37.4,17.7,27.7,8.8,8.4,80.4,8.9,1.4,1.6,2.0,5.5,26.4,608977.0,83.4,12.2,4.3,0.1,9.0
123,New York,Hillary Clinton,NY,1629507.0,769434.0,860073.0,25.8,47.1,12.7,0.1,11.6,0.0,1156936.0,72871.0,1113.0,64993.0,844.0,17.9,24.6,59.2,13.8,20.7,2.1,4.1,6.1,1.9,59.2,20.7,5.4,6.8,31.1,884457.0,83.6,8.5,7.8,0.1,7.5
127,Bexar,Hillary Clinton,TX,1825502.0,897690.0,927812.0,59.1,29.3,7.1,0.2,2.5,0.0,1212392.0,51150.0,405.0,24735.0,199.0,17.4,24.9,34.6,19.6,26.4,9.6,9.8,79.2,11.0,2.8,1.8,1.2,4.0,24.5,824123.0,79.6,14.8,5.6,0.1,7.4
131,Cuyahoga,Hillary Clinton,OH,1263189.0,600864.0,662325.0,5.3,60.4,29.3,0.2,2.8,0.0,955794.0,44190.0,438.0,28215.0,252.0,18.7,27.8,39.0,18.4,24.7,5.6,12.3,80.2,7.4,4.9,2.6,1.2,3.5,24.2,576603.0,83.1,12.6,4.2,0.1,10.6
136,Franklin,Hillary Clinton,OH,1215761.0,592278.0,623483.0,5.0,65.8,21.1,0.1,4.3,0.0,866414.0,52341.0,432.0,29244.0,260.0,17.5,24.8,41.6,17.0,25.3,5.2,10.8,81.4,8.2,2.6,2.5,1.5,3.9,21.6,616368.0,80.8,14.8,4.3,0.1,7.0
141,Santa Clara,Hillary Clinton,CA,1868149.0,939004.0,929145.0,26.6,33.6,2.4,0.2,33.5,0.3,1131378.0,96310.0,783.0,43880.0,313.0,9.5,10.9,50.5,15.2,19.6,6.5,8.2,76.0,10.4,3.9,2.0,3.2,4.6,26.3,915619.0,84.3,9.3,6.4,0.1,7.7
146,Orange,Hillary Clinton,FL,1229039.0,603946.0,625093.0,28.7,43.5,19.9,0.1,5.1,0.0,835254.0,47943.0,622.0,25411.0,329.0,17.8,25.5,35.0,21.8,27.4,6.9,8.9,79.9,9.2,3.0,1.1,2.1,4.6,26.7,603683.0,86.5,9.1,4.3,0.1,9.1
152,Fairfax,Hillary Clinton,VA,1128722.0,558606.0,570116.0,16.1,52.6,9.1,0.1,18.3,0.1,712214.0,112552.0,1041.0,51025.0,382.0,6.0,7.6,56.1,14.9,19.2,5.5,4.4,71.7,9.4,9.8,1.8,1.5,5.8,32.0,603966.0,72.9,21.5,5.4,0.1,4.9
157,Riverside,Hillary Clinton,CA,2298032.0,1143477.0,1154555.0,47.0,37.8,5.9,0.4,6.0,0.3,1427761.0,56603.0,478.0,23783.0,187.0,16.8,23.3,29.0,21.7,25.1,11.3,13.0,77.0,13.3,1.4,1.4,1.6,5.2,32.4,920603.0,77.1,14.9,7.8,0.2,12.9
162,Wake,Hillary Clinton,NC,976019.0,474967.0,501052.0,9.9,61.1,20.4,0.3,6.0,0.0,661349.0,67309.0,866.0,34202.0,418.0,11.3,15.2,49.3,14.5,23.5,6.1,6.6,79.7,9.1,1.1,1.4,1.3,7.4,24.1,499197.0,80.1,15.1,4.8,0.1,6.4
165,St. Louis,Hillary Clinton,MO,1001327.0,474150.0,527177.0,2.7,67.8,23.3,0.1,3.8,0.0,745264.0,59755.0,723.0,35570.0,389.0,10.9,16.1,43.7,16.0,26.2,5.3,8.8,83.5,6.7,2.6,1.5,1.1,4.6,23.7,492220.0,86.1,9.0,4.7,0.2,7.4
170,San Bernardino,Hillary Clinton,CA,2094769.0,1042053.0,1052716.0,51.1,31.2,8.1,0.4,6.5,0.3,1292879.0,53433.0,571.0,21352.0,182.0,19.5,27.1,28.7,18.9,25.4,10.2,16.7,77.8,13.3,1.7,1.8,1.2,4.2,30.4,829145.0,76.4,16.7,6.7,0.2,12.6
175,Pinellas,Donald Trump,FL,931477.0,446740.0,484737.0,8.7,75.5,10.1,0.3,3.2,0.1,727891.0,45819.0,536.0,30170.0,368.0,14.4,21.9,37.4,18.9,28.0,7.2,8.6,80.2,8.2,1.7,1.6,2.7,5.5,23.9,423351.0,83.7,10.9,5.2,0.2,8.4
181,Travis,Hillary Clinton,TX,1121645.0,564941.0,556704.0,33.7,49.8,7.9,0.2,6.0,0.1,734355.0,61451.0,591.0,35168.0,316.0,16.4,22.6,46.2,16.7,22.5,8.1,6.4,74.3,10.1,3.5,2.1,2.7,7.4,24.8,599597.0,76.5,16.0,7.4,0.2,6.0
185,Mecklenburg,Hillary Clinton,NC,990288.0,476765.0,513523.0,12.5,49.1,30.5,0.2,5.1,0.1,661369.0,56854.0,639.0,33169.0,334.0,15.2,20.5,42.4,16.3,25.1,6.7,9.4,77.3,9.9,3.4,1.9,1.3,6.1,25.3,502455.0,86.0,9.1,4.8,0.1,8.9
188,Milwaukee,Hillary Clinton,WI,955939.0,461804.0,494135.0,14.0,53.2,26.1,0.5,3.8,0.0,676079.0,43873.0,593.0,24984.0,236.0,21.5,31.8,35.3,20.1,23.4,5.9,15.3,76.0,9.7,6.0,3.9,1.5,3.0,22.5,445174.0,84.8,11.7,3.4,0.1,9.3
195,Duval,Donald Trump,FL,890673.0,431732.0,458941.0,8.4,55.2,29.0,0.2,4.3,0.1,649795.0,47690.0,759.0,26543.0,339.0,17.3,26.0,35.5,18.5,27.8,7.7,10.5,80.5,9.7,1.8,1.2,2.0,4.8,24.0,409421.0,83.6,12.0,4.3,0.1,10.0
201,Montgomery,Hillary Clinton,PA,812970.0,394888.0,418082.0,4.6,77.4,8.7,0.1,7.0,0.0,599780.0,80675.0,836.0,42275.0,438.0,6.6,7.5,49.0,13.1,23.6,6.5,7.8,79.1,6.9,5.2,2.7,0.8,5.2,27.9,418411.0,86.2,8.1,5.5,0.1,6.4
206,Alameda,Hillary Clinton,CA,1584983.0,776699.0,808284.0,22.6,33.0,11.3,0.3,27.5,0.8,1025865.0,75619.0,613.0,37285.0,279.0,12.5,15.2,46.6,16.2,21.5,6.5,9.3,63.6,9.9,13.6,3.7,3.5,5.6,30.7,778132.0,78.7,13.8,7.4,0.1,8.3
211,Macomb,Donald Trump,MI,854689.0,415691.0,438998.0,2.4,81.4,10.2,0.3,3.5,0.0,633280.0,54582.0,606.0,27525.0,238.0,12.6,18.9,33.8,17.9,25.3,7.5,15.6,87.2,8.0,0.8,0.8,0.8,2.5,27.4,401146.0,86.5,9.6,3.8,0.1,9.0
217,DuPage,Hillary Clinton,IL,930412.0,456274.0,474138.0,13.9,68.6,4.6,0.1,10.8,0.0,638716.0,79658.0,899.0,39336.0,402.0,7.4,10.3,44.8,13.1,26.2,5.5,10.5,78.0,7.6,6.4,1.7,1.1,5.2,29.0,479592.0,86.1,9.5,4.3,0.2,7.0
221,Fairfield,Hillary Clinton,CT,939983.0,457634.0,482349.0,18.3,64.1,10.4,0.1,5.0,0.0,614992.0,84233.0,1252.0,50137.0,563.0,9.0,11.2,44.1,17.6,23.8,7.5,7.0,72.4,8.3,9.9,2.6,1.2,5.6,29.4,463610.0,81.6,9.8,8.4,0.1,9.0
225,Montgomery,Hillary Clinton,MD,1017859.0,490093.0,527766.0,18.3,46.6,17.1,0.2,14.4,0.0,633295.0,99435.0,952.0,49110.0,388.0,6.7,8.5,56.2,15.5,18.2,5.8,4.3,65.4,9.8,15.8,2.1,1.3,5.6,34.5,540333.0,71.8,21.7,6.4,0.1,6.1
229,Fulton,Hillary Clinton,GA,983903.0,478161.0,505742.0,7.6,40.4,43.5,0.2,6.3,0.0,688462.0,57207.0,835.0,37926.0,541.0,17.6,25.2,49.4,15.0,24.1,4.0,7.5,72.8,8.1,7.0,2.8,1.4,7.9,27.4,471816.0,83.1,11.5,5.2,0.1,9.9
232,Hartford,Hillary Clinton,CT,896943.0,434784.0,462159.0,16.6,63.9,12.6,0.1,4.7,0.0,642103.0,66395.0,636.0,35611.0,374.0,11.9,16.7,42.6,16.9,24.0,6.2,10.4,80.9,8.5,3.6,2.2,1.2,3.6,22.7,439719.0,80.7,14.2,4.8,0.2,9.3
236,Hamilton,Hillary Clinton,OH,804194.0,386561.0,417633.0,2.8,66.8,25.6,0.1,2.2,0.0,596879.0,49013.0,655.0,30360.0,330.0,18.3,26.8,40.1,18.3,24.7,5.7,11.2,79.7,8.5,3.7,2.9,1.0,4.1,23.0,383555.0,84.8,10.4,4.7,0.1,8.8
241,Bergen,Hillary Clinton,NJ,926330.0,448049.0,478281.0,17.9,59.4,5.3,0.1,15.5,0.0,623917.0,85806.0,994.0,44002.0,567.0,7.4,9.0,46.9,13.8,25.5,6.2,7.7,69.5,7.4,14.1,2.9,1.5,4.6,31.9,459612.0,82.6,11.6,5.7,0.2,6.5
250,Erie,Hillary Clinton,NY,921584.0,445761.0,475823.0,5.0,76.6,13.0,0.4,3.1,0.0,702758.0,51247.0,514.0,28879.0,278.0,15.0,23.1,38.1,18.6,25.7,6.3,11.3,81.3,8.3,3.7,2.9,1.3,2.6,21.2,441369.0,79.2,16.8,4.0,0.1,7.0
254,Worcester,Hillary Clinton,MA,810935.0,399807.0,411128.0,10.2,79.0,4.2,0.2,4.4,0.0,589962.0,65313.0,682.0,32284.0,309.0,11.8,15.7,40.9,17.5,23.1,7.5,11.0,81.7,8.7,1.6,2.7,1.0,4.2,28.3,403519.0,81.2,13.1,5.5,0.2,7.8
258,Westchester,Hillary Clinton,NY,967315.0,466996.0,500319.0,23.3,55.4,13.4,0.1,5.7,0.0,630131.0,83958.0,1045.0,48885.0,599.0,9.6,12.3,46.4,18.8,22.1,6.5,6.2,58.5,7.9,21.8,5.2,1.6,5.0,32.9,465097.0,79.4,13.9,6.6,0.1,7.6
262,Essex,Hillary Clinton,MA,763849.0,367791.0,396058.0,18.2,73.6,2.9,0.1,3.4,0.0,544295.0,69068.0,1020.0,36212.0,491.0,11.4,16.4,40.8,18.3,23.6,7.1,10.3,75.0,8.0,5.8,3.3,2.3,5.5,29.0,383882.0,81.7,12.0,6.1,0.2,7.7
266,New Haven,Hillary Clinton,CT,862224.0,415679.0,446545.0,16.4,65.4,12.2,0.1,3.9,0.0,629921.0,61640.0,688.0,32852.0,302.0,13.0,19.2,40.0,17.7,24.0,7.1,11.2,78.7,8.3,4.2,3.7,1.3,3.7,24.4,419901.0,81.2,13.2,5.4,0.2,9.5
270,Sacramento,Hillary Clinton,CA,1465832.0,717117.0,748715.0,22.3,46.8,9.6,0.4,14.8,1.0,985653.0,55987.0,594.0,27315.0,224.0,18.2,25.0,37.7,19.4,26.0,7.9,9.0,76.1,11.4,2.9,2.2,2.4,5.1,26.2,633897.0,70.8,21.8,7.3,0.2,11.8
275,Marion,Hillary Clinton,IN,926335.0,446372.0,479963.0,9.7,58.1,26.8,0.2,2.4,0.0,645566.0,42168.0,428.0,24330.0,343.0,21.1,31.8,33.7,18.4,25.7,7.6,14.7,81.9,9.7,2.1,1.9,1.4,3.0,23.1,436687.0,85.4,10.5,4.0,0.1,10.1
278,Pima,Hillary Clinton,AZ,998537.0,491108.0,507429.0,35.7,53.7,3.3,2.4,2.6,0.1,715163.0,46162.0,620.0,25729.0,261.0,19.3,27.5,36.0,21.7,25.0,8.9,8.4,76.6,9.9,2.8,2.5,3.7,4.6,24.4,422371.0,74.9,18.3,6.6,0.2,10.0
282,Bronx,Hillary Clinton,NY,1428357.0,672447.0,755910.0,54.6,10.3,29.6,0.2,3.6,0.0,820317.0,34299.0,495.0,18456.0,186.0,30.7,42.5,24.3,33.3,24.2,7.1,11.0,22.5,4.7,59.7,8.0,1.8,3.3,43.0,563903.0,79.9,14.8,5.2,0.1,14.0
286,Norfolk,Hillary Clinton,MA,687721.0,329431.0,358290.0,3.8,78.1,6.0,0.1,9.7,0.0,497711.0,88262.0,1348.0,45829.0,522.0,6.6,6.7,51.6,13.8,22.6,5.9,6.1,70.0,7.2,13.5,3.5,1.3,4.5,32.7,358283.0,82.5,11.5,5.8,0.1,6.9
290,Multnomah,Hillary Clinton,OR,768418.0,379725.0,388693.0,11.1,71.3,5.3,0.6,6.8,0.6,560299.0,54102.0,784.0,31544.0,380.0,18.1,23.6,43.1,18.7,21.7,5.6,10.9,60.3,9.7,11.2,5.3,6.6,7.0,25.5,394637.0,80.1,12.0,7.8,0.1,8.8
294,Collin,Donald Trump,TX,862215.0,423260.0,438955.0,15.0,60.8,8.9,0.3,12.4,0.1,548008.0,84735.0,1217.0,38883.0,427.0,7.6,9.5,52.1,11.8,25.2,5.2,5.7,81.6,7.2,1.1,0.8,1.4,7.8,28.2,444189.0,84.1,10.0,5.8,0.2,4.9
298,Jefferson,Hillary Clinton,KY,755809.0,364719.0,391090.0,4.7,69.5,20.5,0.1,2.4,0.0,557487.0,48695.0,711.0,28822.0,339.0,16.4,24.2,37.0,16.4,24.8,6.6,15.3,82.0,8.4,2.7,2.1,1.5,3.2,22.1,361510.0,84.0,11.5,4.4,0.1,8.4
304,Prince George's,Hillary Clinton,MD,892816.0,429603.0,463213.0,16.2,14.3,62.6,0.2,4.2,0.0,584331.0,74260.0,766.0,32639.0,270.0,9.6,13.1,37.5,20.9,23.6,9.7,8.4,65.3,11.7,17.2,2.2,1.0,2.6,36.5,465639.0,69.1,27.2,3.6,0.1,8.7
308,Bucks,Hillary Clinton,PA,626583.0,307126.0,319457.0,4.7,85.5,3.7,0.1,4.3,0.0,473294.0,77568.0,1072.0,38795.0,517.0,6.0,7.2,42.1,13.8,26.1,8.1,9.9,81.8,7.7,3.2,1.8,0.8,4.7,29.0,321488.0,85.4,9.1,5.3,0.2,7.0
313,Contra Costa,Hillary Clinton,CA,1096068.0,534618.0,561450.0,24.9,46.0,8.6,0.3,15.1,0.5,720881.0,80185.0,827.0,39313.0,398.0,10.9,14.0,42.9,17.5,23.6,8.2,7.7,68.9,11.6,10.1,1.7,1.9,5.8,35.3,509920.0,77.5,13.6,8.7,0.2,8.8
318,Baltimore,Hillary Clinton,MD,822959.0,389418.0,433541.0,4.8,60.3,26.7,0.2,5.6,0.0,603652.0,67095.0,812.0,35011.0,327.0,9.4,12.1,43.3,16.2,24.8,7.2,8.4,79.3,9.0,4.8,1.9,1.3,3.7,29.1,412199.0,77.0,18.3,4.6,0.1,6.9
322,Shelby,Hillary Clinton,TN,937750.0,447161.0,490589.0,5.9,37.5,52.5,0.1,2.5,0.0,662713.0,46224.0,707.0,26285.0,285.0,21.4,33.3,35.1,17.4,25.5,6.7,15.3,82.9,9.9,1.5,1.3,1.5,2.8,22.6,425295.0,80.9,13.9,5.1,0.1,10.3
329,Cobb,Hillary Clinton,GA,719133.0,348219.0,370914.0,12.6,54.4,25.7,0.2,4.9,0.0,480114.0,65873.0,1188.0,33778.0,462.0,12.4,17.4,44.3,15.2,24.9,7.4,8.2,79.5,9.1,1.3,1.2,1.8,7.1,30.4,366793.0,83.8,10.2,5.9,0.1,8.0
332,Lee,Donald Trump,FL,663675.0,325158.0,338517.0,19.3,69.5,8.2,0.2,1.5,0.0,484833.0,48537.0,713.0,28010.0,435.0,16.1,26.9,30.2,22.6,28.1,11.1,8.1,79.0,10.5,1.1,1.0,2.9,5.6,27.4,263079.0,82.8,10.6,6.4,0.2,10.1
338,Gwinnett,Hillary Clinton,GA,859234.0,421395.0,437839.0,20.3,41.2,24.7,0.2,11.0,0.0,508673.0,60289.0,691.0,25831.0,370.0,13.8,19.8,37.6,16.0,26.6,10.1,9.7,79.8,11.5,1.1,1.0,1.3,5.4,32.1,410562.0,83.2,10.1,6.3,0.3,8.3
341,Monroe,Hillary Clinton,NY,749356.0,362021.0,387335.0,7.9,71.6,14.5,0.2,3.5,0.0,562569.0,52553.0,737.0,29424.0,352.0,15.2,23.0,41.9,17.8,24.3,5.7,10.3,81.4,7.7,2.9,3.2,1.2,3.5,19.9,361948.0,82.6,12.4,4.9,0.1,7.7
345,Brevard,Donald Trump,FL,553591.0,270544.0,283047.0,9.1,76.1,9.9,0.3,2.2,0.1,432722.0,48925.0,739.0,27571.0,383.0,14.0,21.3,36.6,19.8,25.9,8.3,9.3,82.2,8.3,0.6,1.1,2.7,5.0,24.2,229693.0,80.5,13.9,5.4,0.2,10.9
351,El Paso,Donald Trump,CO,655024.0,329550.0,325474.0,16.0,70.6,5.7,0.4,2.7,0.3,468300.0,58206.0,869.0,29659.0,445.0,11.8,15.6,40.5,18.5,24.5,8.5,8.0,78.1,10.2,0.8,3.6,1.6,5.7,22.2,290448.0,76.6,17.5,5.7,0.2,8.4
373,Monmouth,Donald Trump,NJ,629185.0,306200.0,322985.0,10.3,75.9,6.7,0.0,5.3,0.0,453926.0,85242.0,1177.0,43469.0,555.0,7.5,9.9,43.8,15.6,25.5,7.7,7.4,75.7,7.5,8.0,2.1,1.8,5.0,33.5,307183.0,80.6,13.8,5.5,0.2,7.9
382,Jefferson,Hillary Clinton,CO,552344.0,274525.0,277819.0,15.1,78.8,1.0,0.5,2.5,0.0,418635.0,70164.0,712.0,37065.0,442.0,8.5,11.8,44.0,15.2,25.1,8.0,7.7,78.7,8.0,3.2,1.5,1.6,7.0,27.0,294390.0,79.8,13.8,6.2,0.2,5.9
404,Kent,Donald Trump,MI,622590.0,305818.0,316772.0,10.0,75.1,9.3,0.3,2.5,0.0,438424.0,53063.0,550.0,27032.0,342.0,15.3,20.9,35.2,16.7,24.4,6.9,16.8,81.6,9.1,2.0,1.9,1.5,4.1,21.2,305508.0,87.3,7.7,4.9,0.1,7.7
410,Snohomish,Hillary Clinton,WA,746653.0,374847.0,371806.0,9.5,72.5,2.5,0.9,9.4,0.4,523923.0,70722.0,817.0,32542.0,298.0,10.2,13.6,37.2,17.4,23.3,10.5,11.6,74.8,11.2,5.5,1.8,1.6,5.1,30.6,367655.0,81.6,12.7,5.5,0.2,7.5
417,Dane,Hillary Clinton,WI,510198.0,252850.0,257348.0,6.2,80.8,5.0,0.2,5.4,0.0,378450.0,62865.0,831.0,34562.0,389.0,12.9,13.9,48.8,15.5,21.7,5.5,8.5,72.9,8.0,5.4,5.6,3.5,4.6,21.0,287151.0,74.2,21.1,4.5,0.1,4.9
424,Suffolk,Hillary Clinton,MA,758919.0,366767.0,392152.0,21.3,46.5,20.0,0.2,8.6,0.0,518745.0,55044.0,992.0,34420.0,553.0,20.7,28.7,44.4,21.8,21.4,4.8,7.6,40.8,6.9,32.5,13.6,2.8,3.4,30.2,401271.0,84.4,11.0,4.4,0.1,8.7
428,Essex,Hillary Clinton,NJ,791609.0,380222.0,411387.0,21.7,31.9,38.7,0.1,4.9,0.0,506169.0,53976.0,899.0,32708.0,370.0,17.3,24.4,37.3,20.0,23.9,7.3,11.4,61.6,8.7,20.6,4.6,1.4,3.1,33.6,358229.0,79.9,15.1,4.9,0.1,13.0
437,Pierce,Hillary Clinton,WA,821952.0,408209.0,413743.0,10.0,68.8,6.5,1.0,6.0,1.3,590351.0,59953.0,619.0,28824.0,236.0,12.7,17.3,33.3,18.3,24.7,10.6,13.1,78.7,9.7,3.4,2.3,1.5,4.3,29.8,365152.0,75.9,18.7,5.3,0.1,9.2
444,DeKalb,Hillary Clinton,GA,716331.0,341362.0,374969.0,9.1,29.7,53.0,0.2,5.7,0.0,482653.0,51376.0,634.0,29486.0,395.0,19.3,30.1,42.7,16.8,24.0,5.7,10.7,72.2,10.9,8.1,1.8,1.5,5.5,31.4,344876.0,80.6,14.3,5.0,0.2,11.3
447,Jackson,Hillary Clinton,MO,680905.0,329297.0,351608.0,8.7,62.8,23.5,0.4,1.7,0.2,495854.0,46869.0,583.0,26629.0,351.0,17.9,27.2,36.1,18.5,25.9,7.4,12.1,81.9,8.1,2.4,1.8,1.5,4.2,23.0,326275.0,82.7,12.3,4.9,0.1,7.6
