,county,state,totalpop,income,professional,service,office,drive,carpool,transit,workathome,meancommute,unemployment,party,perc_men,perc_white,perc_private_work,perc_citizen,perc_employed
22,Nassau,NY,1354612.0,99465.0,0.436,0.163,0.262,0.6920000000000001,0.071,0.163,0.036000000000000004,0.349,0.064,D,0.48481631640646916,0.6405295315682281,0.78,0.6992769885398918,0.49178953087673816
23,Hillsborough,FL,1302884.0,50579.0,0.374,0.177,0.27699999999999997,0.804,0.08900000000000001,0.013999999999999999,0.055,0.264,0.09,D,0.4878653817223943,0.5312820512820513,0.8340000000000001,0.6923908805388661,0.4674069218748561
24,New York,NY,1629507.0,72871.0,0.5920000000000001,0.138,0.207,0.061,0.019,0.5920000000000001,0.068,0.311,0.075,D,0.4721882139812839,0.4840698869475848,0.8360000000000001,0.7099914268548708,0.5427758211532691
25,Bexar,TX,1825502.0,51150.0,0.34600000000000003,0.196,0.264,0.792,0.11,0.027999999999999997,0.04,0.245,0.07400000000000001,D,0.49174966666703185,0.2983706720977597,0.7952047952047953,0.6641416991052325,0.45145006688571143
26,Cuyahoga,OH,1263189.0,44190.0,0.39,0.184,0.247,0.802,0.07400000000000001,0.049,0.035,0.242,0.106,D,0.4756722865699432,0.6163265306122448,0.8310000000000001,0.7566516174539202,0.4564661345214374
27,Franklin,OH,1215761.0,52341.0,0.41600000000000004,0.17,0.253,0.8140000000000001,0.08199999999999999,0.026000000000000002,0.039,0.21600000000000003,0.07,D,0.4871664743317149,0.6832814122533749,0.808,0.7126515820132411,0.5069812241057248
28,Santa Clara,CA,1868149.0,96310.0,0.505,0.152,0.196,0.76,0.10400000000000001,0.039,0.046,0.263,0.077,D,0.5026387081544352,0.34782608695652173,0.8421578421578422,0.605614434394687,0.4901209700082809
29,Orange,FL,1229039.0,47943.0,0.35,0.218,0.27399999999999997,0.799,0.092,0.03,0.046,0.267,0.091,D,0.49139693695643505,0.44707091469681404,0.8650000000000001,0.6795992641405195,0.49118294862896944
30,Fairfax,VA,1128722.0,112552.0,0.561,0.149,0.192,0.7170000000000001,0.094,0.098,0.057999999999999996,0.32,0.049,D,0.4949013131665725,0.5462097611630323,0.7297297297297297,0.6309915107528692,0.5350883565660987
31,Riverside,CA,2298032.0,56603.0,0.29,0.217,0.251,0.77,0.133,0.013999999999999999,0.052000000000000005,0.324,0.129,D,0.49758967673209076,0.3880903490759753,0.7709999999999999,0.6212972665306662,0.40060495241145466
32,Wake,NC,976019.0,67309.0,0.493,0.145,0.235,0.797,0.091,0.011000000000000001,0.07400000000000001,0.24100000000000002,0.064,D,0.48663704292641846,0.6253838280450358,0.8001998001998003,0.67759848937367,0.5114623793184354
33,St. Louis,MO,1001327.0,59755.0,0.43700000000000006,0.16,0.262,0.835,0.067,0.026000000000000002,0.046,0.237,0.07400000000000001,D,0.47352163678798237,0.6939611054247697,0.861,0.7442763452898005,0.4915676896758002
34,San Bernardino,CA,2094769.0,53433.0,0.287,0.18899999999999997,0.254,0.778,0.133,0.017,0.042,0.304,0.126,D,0.49745485063030814,0.319672131147541,0.7639999999999999,0.6171940676991114,0.3958169134639667
