totalpop,income,service,office,drive,carpool,transit,workathome,meancommute,unemployment,perc_men,perc_white,perc_private_work,perc_citizen,party
10038388.0,56196.0,0.191,0.246,0.73,0.099,0.068,0.051,0.3,0.1,0.4926439384490817,0.2758974358974359,0.7892107892107891,0.6023625506406008,0
5236393.0,55251.0,0.182,0.244,0.621,0.087,0.184,0.042,0.32299999999999995,0.107,0.4845405988435169,0.4384537131230926,0.8390000000000001,0.6683829880606746,0
4356362.0,54457.0,0.174,0.235,0.792,0.111,0.029,0.033,0.282,0.075,0.4973707419172236,0.32150101419878296,0.8348348348348349,0.5726643010842534,0
4018143.0,54229.0,0.184,0.272,0.765,0.11,0.024,0.059,0.255,0.077,0.4942974901590113,0.5858895705521472,0.8241758241758241,0.6619607614761346,1
2639042.0,43129.0,0.21,0.282,0.769,0.092,0.055,0.043,0.299,0.1,0.485108232457081,0.1523713420787084,0.8190000000000001,0.5765671785443354,0
2045756.0,75302.0,0.156,0.211,0.645,0.098,0.121,0.061,0.281,0.063,0.4990336090912113,0.6610526315789474,0.8170000000000001,0.6915086647674503,0
3116069.0,76509.0,0.175,0.256,0.784,0.098,0.025,0.052000000000000005,0.268,0.076,0.4940840526958806,0.4353182751540041,0.818,0.6295062785836899,0
1843152.0,51968.0,0.199,0.284,0.795,0.094,0.031,0.049,0.278,0.1,0.4854835629400071,0.4126659856996935,0.8220000000000001,0.6557147755583913,0
1778969.0,41210.0,0.205,0.244,0.81,0.097,0.032,0.028,0.251,0.149,0.4806784154192682,0.5097236438075742,0.8610000000000001,0.7236624134540849,0
3223096.0,64309.0,0.197,0.236,0.76,0.093,0.03,0.068,0.25,0.087,0.5022949983494132,0.4865424430641821,0.773,0.664502391489425,0
1556116.0,85118.0,0.145,0.198,0.6890000000000001,0.075,0.114,0.052000000000000005,0.293,0.061,0.4874585185166144,0.7685185185185186,0.8271728271728271,0.6988849160345373,0
2035572.0,51575.0,0.302,0.263,0.7859999999999999,0.104,0.04,0.031,0.244,0.108,0.5010517928130275,0.4755970924195223,0.8441558441558442,0.6490131520771557,0
2485003.0,50270.0,0.182,0.245,0.782,0.112,0.029,0.041,0.265,0.076,0.4932476942683772,0.3211009174311927,0.8398398398398399,0.5765393442180955,0
2595259.0,48201.0,0.241,0.223,0.18600000000000005,0.044,0.617,0.039,0.417,0.1,0.4735562038316792,0.36391437308868496,0.7902097902097902,0.6170971760429306,0
1555072.0,38253.0,0.24,0.237,0.504,0.086,0.262,0.031,0.325,0.139,0.4723389013499054,0.3664278403275333,0.8290000000000001,0.7198078288336489,0
1197776.0,65834.0,0.156,0.232,0.7340000000000001,0.081,0.073,0.052000000000000005,0.231,0.06,0.4923967419617691,0.7295336787564768,0.8498498498498499,0.7138279611546733,0
1229503.0,67465.0,0.14400000000000002,0.238,0.857,0.075,0.005,0.042,0.263,0.075,0.4856409459757317,0.7538461538461538,0.8601398601398601,0.7290531214645267,0
1914526.0,58711.0,0.16,0.257,0.8290000000000001,0.1,0.006,0.039,0.265,0.069,0.4895551170368018,0.5086823289070479,0.831,0.6369043825991394,1
1378806.0,53363.0,0.22,0.263,0.7879999999999999,0.097,0.02,0.059,0.25,0.095,0.4834450966996082,0.5871559633027523,0.8260000000000001,0.6935544231748338,0
1231145.0,53040.0,0.17,0.246,0.721,0.09,0.091,0.042,0.264,0.071,0.4812682502873342,0.8147389969293757,0.8611388611388612,0.7816154880213135,0
2301139.0,57720.0,0.248,0.24,0.316,0.064,0.523,0.024,0.426,0.086,0.4847421211843352,0.2724425887265136,0.799,0.5944399708144532,0
1501373.0,88663.0,0.175,0.257,0.7929999999999999,0.079,0.065,0.035,0.314,0.064,0.4923559968109191,0.7080366225839269,0.7709999999999999,0.7039576441030976,1
1354612.0,99465.0,0.163,0.262,0.6920000000000001,0.071,0.163,0.036000000000000004,0.349,0.064,0.4848163164064692,0.6405295315682281,0.78,0.6992769885398918,0
1302884.0,50579.0,0.177,0.277,0.804,0.08900000000000001,0.014,0.055,0.264,0.09,0.4878653817223943,0.5312820512820513,0.8340000000000001,0.6923908805388661,0
1629507.0,72871.0,0.138,0.207,0.061,0.019,0.5920000000000001,0.068,0.311,0.075,0.4721882139812839,0.4840698869475848,0.8360000000000001,0.7099914268548708,0
1825502.0,51150.0,0.196,0.264,0.792,0.11,0.028,0.04,0.245,0.07400000000000001,0.4917496666670319,0.2983706720977597,0.7952047952047953,0.6641416991052325,0
1263189.0,44190.0,0.184,0.247,0.802,0.07400000000000001,0.049,0.035,0.242,0.106,0.4756722865699432,0.6163265306122448,0.8310000000000001,0.7566516174539202,0
1215761.0,52341.0,0.17,0.253,0.8140000000000001,0.08199999999999999,0.026,0.039,0.21600000000000005,0.07,0.4871664743317149,0.6832814122533749,0.8079999999999999,0.7126515820132411,0
1868149.0,96310.0,0.152,0.196,0.76,0.104,0.039,0.046,0.263,0.077,0.5026387081544352,0.3478260869565217,0.8421578421578422,0.6056144343946871,0
1229039.0,47943.0,0.218,0.274,0.799,0.092,0.03,0.046,0.267,0.091,0.4913969369564351,0.4470709146968141,0.8650000000000001,0.6795992641405195,0
1128722.0,112552.0,0.149,0.192,0.7170000000000001,0.094,0.098,0.058,0.32,0.049,0.4949013131665725,0.5462097611630323,0.7297297297297297,0.6309915107528692,0
2298032.0,56603.0,0.217,0.251,0.77,0.133,0.014,0.052000000000000005,0.324,0.129,0.4975896767320908,0.3880903490759753,0.7709999999999999,0.6212972665306662,0
976019.0,67309.0,0.145,0.235,0.797,0.091,0.011,0.07400000000000001,0.241,0.064,0.4866370429264185,0.6253838280450358,0.8001998001998003,0.6775984893736701,0
1001327.0,59755.0,0.16,0.262,0.835,0.067,0.026,0.046,0.237,0.07400000000000001,0.4735216367879824,0.6939611054247697,0.861,0.7442763452898005,0
2094769.0,53433.0,0.189,0.254,0.778,0.133,0.017,0.042,0.304,0.126,0.4974548506303082,0.319672131147541,0.7639999999999999,0.6171940676991114,0
931477.0,45819.0,0.189,0.28,0.802,0.08199999999999999,0.017,0.055,0.239,0.084,0.4796038978954929,0.7711950970377938,0.8369999999999999,0.7814374375320057,1
1121645.0,61451.0,0.16699999999999998,0.225,0.743,0.101,0.035,0.07400000000000001,0.248,0.06,0.5036718391291363,0.5097236438075742,0.7642357642357642,0.6547124981611829,0
990288.0,56854.0,0.163,0.251,0.773,0.099,0.034,0.061,0.253,0.08900000000000001,0.4814407525891458,0.5035897435897437,0.8600000000000001,0.6678552097975539,0
955939.0,43873.0,0.201,0.234,0.76,0.097,0.06,0.03,0.225,0.093,0.483089402148045,0.5450819672131147,0.848,0.7072407339798878,0
890673.0,47690.0,0.185,0.278,0.805,0.097,0.018000000000000002,0.048,0.24,0.1,0.4847255951398549,0.5679012345679013,0.8360000000000001,0.7295550667865759,1
812970.0,80675.0,0.131,0.236,0.7909999999999999,0.069,0.052000000000000005,0.052000000000000005,0.279,0.064,0.4857350209724836,0.7914110429447854,0.862862862862863,0.7377640011316531,0
1584983.0,75619.0,0.162,0.215,0.636,0.099,0.136,0.056,0.307,0.083,0.4900361707349543,0.3455497382198953,0.787,0.6472403804961946,0
854689.0,54582.0,0.179,0.253,0.872,0.08,0.008,0.025,0.274,0.09,0.4863652158855443,0.8323108384458078,0.8650000000000001,0.7409478769470532,1
930412.0,79658.0,0.131,0.262,0.78,0.076,0.064,0.052000000000000005,0.29,0.07,0.4903999518492882,0.7000000000000001,0.8601398601398601,0.686487276604343,0
939983.0,84233.0,0.17600000000000002,0.238,0.7240000000000001,0.083,0.099,0.056,0.294,0.09,0.4868534856481447,0.6547497446373851,0.8168168168168168,0.65425864084776,0
1017859.0,99435.0,0.155,0.182,0.654,0.098,0.158,0.056,0.345,0.061,0.4814939986776165,0.4824016563146998,0.718,0.6221834261916435,0
983903.0,57207.0,0.15,0.241,0.728,0.081,0.07,0.079,0.274,0.099,0.4859838825575286,0.4122448979591837,0.8318318318318318,0.6997254810687639,0
896943.0,66395.0,0.16899999999999998,0.24,0.809,0.085,0.036000000000000004,0.036000000000000004,0.227,0.093,0.4847398329659745,0.6527068437180797,0.8078078078078078,0.7158793814099671,0
804194.0,49013.0,0.183,0.247,0.797,0.085,0.037000000000000005,0.041,0.23,0.08800000000000001,0.4806812783979985,0.6851282051282052,0.848,0.7422077259964636,0
926330.0,85806.0,0.138,0.255,0.695,0.07400000000000001,0.141,0.046,0.319,0.065,0.4836818412444809,0.604887983706721,0.8251748251748252,0.6735364287025142,0
921584.0,51247.0,0.18600000000000005,0.257,0.813,0.083,0.037000000000000005,0.026,0.212,0.07,0.4836900380214934,0.780835881753313,0.7912087912087913,0.7625544714317957,0
810935.0,65313.0,0.175,0.231,0.8170000000000001,0.087,0.016,0.042,0.28300000000000003,0.078,0.4930197858028079,0.8061224489795917,0.812,0.7275083699680001,0
967315.0,83958.0,0.188,0.221,0.585,0.079,0.218,0.05,0.329,0.076,0.4827755177992691,0.5658835546475995,0.794,0.6514227526710534,0
763849.0,69068.0,0.183,0.236,0.75,0.08,0.058,0.055,0.29,0.077,0.481496997443212,0.7494908350305498,0.8170000000000001,0.7125688454131641,0
862224.0,61640.0,0.177,0.24,0.787,0.083,0.042,0.037000000000000005,0.244,0.095,0.4821009389671361,0.6673469387755102,0.8119999999999999,0.7305769730371692,0
1465832.0,55987.0,0.194,0.26,0.7609999999999999,0.114,0.029,0.051,0.262,0.118,0.4892218207816448,0.4931506849315069,0.7072927072927073,0.6724188037919762,0
926335.0,42168.0,0.184,0.257,0.8190000000000001,0.097,0.021,0.03,0.231,0.101,0.4818688703330869,0.5977366255144033,0.8540000000000001,0.6969033880831449,0
998537.0,46162.0,0.217,0.25,0.7659999999999999,0.099,0.028,0.046,0.244,0.1,0.4918275436964279,0.549079754601227,0.7490000000000001,0.7162108164244291,0
1428357.0,34299.0,0.333,0.242,0.225,0.047,0.597,0.033,0.43,0.14,0.4707835646130484,0.10478128179043744,0.799,0.5743081036463573,0
687721.0,88262.0,0.138,0.226,0.7,0.07200000000000001,0.135,0.045,0.327,0.069,0.4790183810004348,0.7993858751279427,0.8258258258258259,0.7237106326548121,0
768418.0,54102.0,0.187,0.217,0.603,0.097,0.112,0.07,0.255,0.08800000000000001,0.49416463435265706,0.7450365726227797,0.8009999999999999,0.7291591295362679,0
862215.0,84735.0,0.118,0.252,0.816,0.07200000000000001,0.011,0.078,0.282,0.049,0.4908984418039584,0.6235897435897435,0.8401598401598401,0.6355816124748468,1
755809.0,48695.0,0.16399999999999998,0.248,0.82,0.084,0.027000000000000003,0.032,0.221,0.084,0.4825544548953506,0.7150205761316872,0.84,0.7376030187520921,0
892816.0,74260.0,0.209,0.236,0.653,0.117,0.172,0.026,0.365,0.087,0.481177532660705,0.14666666666666667,0.6910000000000001,0.6544808784788803,0
626583.0,77568.0,0.138,0.261,0.818,0.077,0.032,0.047,0.29,0.07,0.4901601224418792,0.8697863682604273,0.8540000000000001,0.7553572312048045,0
1096068.0,80185.0,0.175,0.236,0.6890000000000001,0.116,0.101,0.058,0.353,0.08800000000000001,0.487759883510877,0.4821802935010482,0.775,0.6576973326472445,0
822959.0,67095.0,0.162,0.248,0.7929999999999999,0.09,0.048,0.037000000000000005,0.29100000000000004,0.069,0.4731924676684986,0.617827868852459,0.7700000000000001,0.7335140632765423,0
937750.0,46224.0,0.174,0.255,0.8290000000000001,0.099,0.015,0.028,0.226,0.103,0.4768445747800586,0.3807106598984771,0.809,0.7067054118901627,0
719133.0,65873.0,0.152,0.249,0.795,0.091,0.013,0.071,0.304,0.08,0.4842205822845009,0.5562372188139059,0.838,0.6676289365110487,0
663675.0,48537.0,0.226,0.281,0.79,0.105,0.011,0.056,0.274,0.101,0.4899355859419143,0.7041540020263425,0.828,0.7305277432478247,1
859234.0,60289.0,0.16,0.266,0.7979999999999999,0.115,0.011,0.054000000000000006,0.321,0.083,0.4904310118081919,0.4229979466119097,0.8328328328328329,0.5920075322903888,0
749356.0,52553.0,0.17800000000000002,0.243,0.8140000000000001,0.077,0.029,0.035,0.199,0.077,0.4831094966878226,0.7328556806550665,0.826,0.750736632521792,0
553591.0,48925.0,0.198,0.259,0.8220000000000001,0.083,0.006,0.05,0.242,0.109,0.4887073669911541,0.7789150460593655,0.8049999999999999,0.7816637192439906,1
655024.0,58206.0,0.185,0.245,0.7809999999999999,0.102,0.008,0.057,0.222,0.084,0.5031113363785144,0.7377220480668756,0.7659999999999999,0.7149356359461638,1
629185.0,85242.0,0.156,0.255,0.757,0.075,0.08,0.05,0.335,0.079,0.4866613158292076,0.7729124236252546,0.8051948051948051,0.7214507656730532,1
552344.0,70164.0,0.152,0.251,0.787,0.08,0.032,0.07,0.27,0.059,0.4970181625943253,0.8049029622063331,0.7979999999999999,0.7579244094260099,0
622590.0,53063.0,0.16699999999999998,0.244,0.816,0.091,0.02,0.041,0.212,0.077,0.4912028782987198,0.7726337448559671,0.873,0.7041937711816766,1
746653.0,70722.0,0.174,0.233,0.748,0.112,0.055,0.051,0.306,0.075,0.5020364212023524,0.7615546218487393,0.816,0.70169543281819,0
510198.0,62865.0,0.155,0.217,0.7290000000000001,0.08,0.054000000000000006,0.046,0.21,0.049,0.4955919074555369,0.8278688524590163,0.7427427427427428,0.7417708419084356,0
