party,totalpop,income,service,office,drive,carpool,transit,workathome,meancommute,unemployment,perc_men,perc_white,perc_private_work,perc_citizen,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
0.0,0.15499404719269672,0.6318367346938776,0.300632911392405,0.501597444089457,0.7096045197740114,0.2508361204013378,0.1847649918962723,0.13978494623655913,0.5726744186046512,0.20748299319727892,0.25018316851971467,0.7664098815414606,0.8992289299148505,0.5375115195451241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2027575678755018,0.3096950780312125,0.7974683544303798,0.7092651757188498,0.8192090395480225,0.34782608695652173,0.06482982171799027,0.08333333333333331,0.43023255813953487,0.3673469387755102,0.29182470907829616,0.4708201428565422,0.9298841952271556,0.4329665861434002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.24752999092160774,0.2971620648259304,0.4177215189873417,0.6517571884984026,0.8146892655367233,0.37458193979933113,0.04700162074554295,0.11021505376344085,0.49127906976744196,0.2585034013605442,0.2679176886662993,0.31491661404746873,0.9220935737181225,0.2810415525217784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2585137198485653,0.2772917166866747,0.6044303797468353,0.5814696485623003,0.14124293785310743,0.1471571906354515,0.9999999999999999,0.10483870967741933,0.933139534883721,0.34013605442176875,0.20759491581568046,0.3581200708192499,0.832508646588069,0.3660619225786532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1548900436645464,0.18175270108043218,0.60126582278481,0.6261980830670927,0.5005649717514125,0.28762541806020064,0.4246353322528363,0.08333333333333331,0.6656976744186047,0.4727891156462586,0.20386583998291963,0.3606564340147274,0.9025270758122744,0.581371699165449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.11929613121818317,0.44663625450180067,0.33544303797468356,0.610223642172524,0.7604519774011301,0.2709030100334448,0.11831442463533225,0.13978494623655913,0.3924418604651163,0.20408163265306123,0.26531088737498765,0.7270699167208576,0.9401621838444943,0.568836251877403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.12245678249943391,0.46230012004801924,0.2974683544303798,0.6293929712460063,0.8994350282485876,0.2508361204013378,0.008103727714748784,0.1129032258064516,0.48546511627906985,0.25510204081632654,0.2446152296236901,0.7516038617253192,0.9587362096387367,0.6007523752369941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.1906989365838487,0.3782280912364946,0.34810126582278483,0.6900958466453675,0.8677966101694916,0.33444816053511706,0.00972447325769854,0.10483870967741933,0.49127906976744196,0.23469387755102045,0.25660587363179244,0.5042067630772538,0.9061371841155234,0.4075832750630495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.13733038284754687,0.32686674669867943,0.5379746835443038,0.7092651757188498,0.8214689265536722,0.32441471571906355,0.03241491085899514,0.15860215053763435,0.4476744186046512,0.3231292517006803,0.23788848044624156,0.5833952382721094,0.8971119133574009,0.5263373404747329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.122620358929724,0.32376470588235295,0.37974683544303806,0.6549520766773163,0.7457627118644068,0.3010033444816053,0.14748784440842785,0.1129032258064516,0.4883720930232559,0.24149659863945577,0.2312199445078158,0.8130513966989753,0.9605394605394607,0.7109375516789622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
